,nearest_farmyard
835,3096.736666168412
836,4861.023715031509
837,2072.85354257972
838,2070.96635961912
839,1435.8085784810264
840,1340.0140672812597
841,7863.233466320134
842,1715.2475425680223
843,2734.628868744429
844,8146.5859801609095
845,2369.01358527748
846,2433.4992286701395
847,2872.493858639439
848,1263.1709705704457
849,773.2107263806278
850,2335.4059014055497
851,7328.436400844919
852,1852.829079233179
853,5095.687878082471
854,7309.310198069849
855,4070.4265942003576
856,1146.3086099076215
857,5902.334725174986
858,3237.4618713139985
859,4434.711143674707
860,2215.788740425026
861,4328.263565546915
862,975.7000165582174
863,1656.5892642551098
864,1004.7678307556262
865,722.9462614177767
866,2239.5392216769533
867,1427.7007576123149
868,3208.7985665145993
869,1195.4570072993308
870,1080.0318758177002
871,5036.054561018914
872,4852.191686188223
873,2153.4129961442322
874,5059.899529801209
875,2266.1462352785006
876,2218.2093933746132
877,1104.9625882371565
878,1006.0801197529403
879,2763.9210487363475
880,4919.59918616431
881,1960.6983410101882
882,2976.401873782038
883,529.6256723335314
884,841.6864641442962
885,3728.2940357360776
886,3009.18739933689
887,3370.4436134587636
888,4111.818409333743
889,2573.3604363993895
890,3561.683732960679
891,4343.205160742478
892,3593.5920556657784
893,1833.1860705333313
894,1397.2463258782673
895,3236.267440522426
896,3593.5920556657784
897,1353.1076027039403
898,297.5842787529341
899,3344.6022663345666
900,3830.815775317735
901,2546.1007190184796
902,2594.0675176226446
903,3443.245762696492
904,3353.4043949698994
905,1367.0714265558686
906,1561.0500341640916
907,5055.492851328985
908,848.6223598057954
909,1891.7104945117514
910,1230.9349294617514
911,2285.0826169907514
912,1138.143018156303
913,5186.2499140008085
914,1635.041703092509
915,3228.7393857561106
916,3024.606742050056
917,3195.034153650094
918,1185.5480446850909
919,1284.6398061591033
920,2167.666941822007
921,1204.6022461582056
922,5928.939290337438
923,463.50497051589895
924,4628.852221358361
925,5670.080322135063
