,nearest_meadow
375,763.6325610976065
376,2806.6219967181983
377,1484.6144843530103
378,4793.889740790335
379,0.0
380,1981.8453406511283
381,2165.9450355637905
382,4655.5378346168
383,4923.642074465246
384,834.8271502194877
385,332.22095341101027
386,812.5444751064351
387,853.2349325983294
388,1215.111705733079
389,1438.7087218441272
390,1514.9957755049538
391,1394.3045723884977
392,782.1315004738417
393,3151.76805059232
394,3805.259543760724
395,3729.490771926933
396,1723.319497186435
397,2771.0240332962385
398,719.7836134297861
399,166.80143228737595
400,650.0495503466708
401,347.8473292806517
402,1156.2931223883068
403,1608.4244557476347
404,821.9991020334714
405,4250.0953970097125
406,809.374258103034
407,3227.14169361202
408,120.61657712739532
409,2566.9607018604115
410,1613.2917186980649
411,539.5112637484214
412,1235.4935343439195
413,2038.549109076096
414,3801.5916086347
415,2226.175920459479
416,2593.301453363474
417,345.14166908547884
418,5202.486105494522
419,2458.2486017035703
420,1623.0789525556474
421,2031.3582800067127
422,2781.877636332052
423,755.1010495420779
424,3979.2456188858146
425,2997.740215396934
426,2529.252116440852
427,752.0778913714167
428,3253.130619778298
429,911.2402347216849
430,1865.590808312398
431,1040.8925733720216
432,1170.1989121821046
433,1537.9674611992732
434,875.151695713308
435,3838.2964540240346
436,1838.7423988456094
437,3663.405419736745
438,1151.6584463561883
439,1354.794190181148
440,2647.381731761083
441,1529.7290526439938
442,0.0
443,4342.21808698067
444,89.37437813361811
445,2688.4349939554663
446,118.79159701020198
447,1534.9004676669574
448,3737.824345905698
449,79.81175387715135
450,5.606651962406271
451,3549.547145569856
452,556.3984603745946
453,2146.092901668929
454,3568.7086622462803
455,172.00241191124
456,1566.2445080604703
457,2438.6764779866817
458,164.6872037603936
459,1630.5966598490882
460,1988.2995991764324
461,2508.2967171259434
462,1984.458043614016
463,2705.704849839615
464,1062.6593464352895
465,213.23700133657965
466,1062.6593464352895
467,762.9844327294788
468,447.97517670780206
469,2829.323127227575
470,313.30273012209545
471,447.97517670780206
472,752.3501905298491
473,694.487217763144
474,1268.209242509353
475,3121.701758261573
476,256.45337539248374
477,43.39149683275489
478,495.3730425114328
479,2585.239212591791
480,1045.177361277337
481,1658.0021056970022
482,3231.964436962301
483,3386.5362716014447
484,149.41677386006157
485,631.7611513295968
486,292.05738497732506
487,2495.1482463565376
488,3179.1012985339407
489,263.27003344365636
490,3045.6729834511048
491,1083.1956560981105
492,210.50316868614453
493,1028.84327292962
494,1210.6380682601236
495,2522.1004347513945
496,1324.9998065523362
497,2927.1320002836183
498,826.5919452740628
499,650.5941177058962
500,1582.0669523317179
501,2136.8645234645196
502,1880.536403959849
503,871.5518807514443
504,1017.9236233779808
505,1889.3772785979038
506,796.749082079942
507,1059.8386147172962
508,726.639907266449
509,3217.803621871907
510,4315.729559536668
511,618.6415450759032
512,3243.414683816708
513,1322.5343760977194
514,3179.8864428535157
515,712.6853706102911
516,1588.3080537862252
517,208.57630899547104
518,337.8842778539393
519,1379.5213074462306
520,1904.3225863757307
521,779.3031439541993
522,628.3400001803592
523,833.8921185287753
524,4137.004789672823
525,1328.6670884197038
526,2135.658797727668
527,1942.1730128096094
528,2159.223798462584
529,1118.6886490829481
530,3925.3532459786775
531,645.3259203041954
532,1494.6817339555585
533,1012.4513589658558
534,1012.6641600378013
535,467.43960228011355
536,687.129887689135
537,648.766265003197
538,3.549298549568921
539,2557.2878674013723
540,2333.149923477027
541,93.79007442710126
542,643.4238486613793
543,1092.1597328366427
544,853.8213601325766
545,700.3730193959258
546,2408.8061044478936
547,2859.3356052020345
548,1731.5839590704852
549,2410.358873805014
550,3144.7661846949545
551,4770.488852106219
552,1966.2497020039173
553,511.3068496566154
554,3079.808297966217
555,983.1786160971176
556,3052.829539848899
557,964.6699341080018
558,1131.6631034966715
559,625.2638175549158
560,1732.7292696088919
561,2471.0475399904763
562,1549.5296060242479
563,4788.02618133297
564,2163.591191727254
565,1120.7459905850408
566,1094.0800721760584
567,3619.8800778751047
568,3619.8800778751047
569,1843.8414525398186
570,3399.7379169188202
571,2568.1667741189176
572,1607.7923183408204
573,3778.3486966111846
574,2573.6641571264167
575,1824.7579584767877
576,2376.5007394238487
577,2611.978986589087
578,928.0262939361551
579,1404.3619141225515
580,206.6693232370816
581,1132.9394096121791
582,3149.7869771225683
583,2650.5600174161204
