,nearest_commercial
442,1139.968926124609
443,1256.9389302107827
444,1334.5162060401692
445,443.3112630239204
446,916.7690973940818
447,531.4480708025295
448,407.36487222413564
449,1396.5060136832599
450,1435.5274568071272
451,826.8809971454311
452,254.71488824282855
453,1324.5068166245833
454,737.7483300307603
455,899.0994371383536
456,1234.9027505646366
457,481.942336196043
458,460.87320490315574
459,496.55999987312134
460,242.05351480271273
461,243.57827222529528
462,27.44298647199514
463,762.6053562411344
464,111.59027853001365
465,789.2164430295551
466,111.59027853001365
467,264.62647034040026
468,909.0801420636117
469,393.59347246230584
470,586.8114465045793
471,909.0801420636117
472,203.55115761605927
473,2101.2656603877826
474,782.1123042510749
475,2229.0285472234536
476,454.9882480530297
477,5879.419664361837
478,158.64502451134157
479,279.68312308718515
480,426.78735520326
481,415.2541020441394
482,132.26210111306798
483,724.1702645995423
484,320.5708285571465
485,250.24216373191305
486,944.5710736827939
487,378.09321885394814
488,922.7677391890882
489,379.48901516808024
490,1141.9738321133227
491,617.0888251557035
492,306.19689383317063
493,197.86346684124703
494,209.85745309658674
495,180.96490084758736
496,1312.0434549796685
497,82.75302467262334
498,1044.5125767168392
499,1066.6515375398812
500,239.42236575216842
501,67.27804218329793
502,2129.0915807257156
503,3060.026097219202
504,54.74872409370896
505,115.81854699177676
506,1635.2169627574506
507,112.35897864335787
508,1202.6863421672335
509,717.532143229412
510,684.2950444122063
511,824.7888422471492
512,442.22378893103803
513,764.6480675161
514,1614.40859724356
515,932.1124514659928
516,1132.2166644466822
517,1606.0543932455832
518,2541.3576152374644
519,392.15680005672596
520,94.93491500198074
521,2749.7868932178326
522,332.58086545103436
523,1582.016645008739
524,65.47254197220164
525,685.2105694300776
526,1454.2504319492741
527,1984.8845726059121
528,372.3593821025476
529,681.5775470388605
530,630.4019901761154
531,267.90539076637543
532,151.4444339836656
533,1217.0865294109162
534,4556.045277849742
535,3920.769561609292
536,1162.9600890310937
537,186.9657029387794
538,60.99964764418574
539,2005.6258433720654
540,419.0927150109964
541,1561.029568626282
542,290.76974244223703
543,254.81600660401656
544,690.0391987118596
545,966.0731819295873
546,566.58600903702
547,263.67446403438083
548,984.1342249574379
549,1096.1705585633117
550,2249.772770751404
551,255.15671198033044
552,1475.8762419020584
553,271.3544403905694
554,242.01225042121217
555,2535.4001425450415
556,2188.6936281135636
557,1708.0054827174204
558,26.110055020457896
559,334.8624449353993
560,498.28369813177034
561,654.4542445000031
562,1421.8856198966284
563,230.1868479202132
564,672.1826003878327
565,100.4581913993029
566,1031.7755043106245
567,695.3631920096633
568,695.3631920096633
569,895.4629490767953
570,152.93706127748638
571,2713.5662909286216
572,753.9238806901117
573,1643.2680896325815
574,0.0
575,487.5393434855121
576,1483.5054688370942
577,1816.2922005628936
578,1814.0813226889863
579,242.11726021406025
580,399.0343461244207
581,778.079929454975
582,2249.1048837829135
583,53.83942080695681
584,1084.7421038550465
585,0.0
586,702.6635910145778
587,2188.6936281135636
588,1440.0510051221643
589,0.0
590,341.4289090734119
591,706.3731278600682
592,372.15594729373464
593,1744.460506918715
594,5748.91038775159
595,642.5462672151294
596,788.5303370009947
597,807.5330105960982
598,383.271824280148
599,970.2900642052874
600,51.606899601356886
601,362.633540517237
602,1230.300941547441
603,278.80667514229236
604,463.7379261108222
605,60.23605550823449
606,601.402520918397
607,1095.6895880056816
608,1053.9316434821242
609,1812.0991722285082
610,288.19823468045826
611,1181.2115167075287
612,80.19927430963837
613,1389.820439091037
614,379.6957393214409
615,497.34712281175877
616,25.946471328421854
617,570.7923099962767
618,1524.9898618628724
619,144.63179018927315
620,1260.6146028141013
