,nearest_heath
411,2912.4466827955052
412,2112.686215697202
413,7175.843640744066
414,4594.885993577667
415,3935.3791012060465
416,4544.281969944361
417,5166.253455199876
418,5245.471331538195
419,455.1534883016816
420,6021.942876634488
421,6366.660886939592
422,2304.4267301815194
423,1827.9030055860892
424,3259.7101291263784
425,1203.927919655283
426,3456.697437684717
427,7347.409969143443
428,7906.928135488687
429,2781.9093976241043
430,1681.5051991582152
431,2033.7243636608162
432,4290.421433380163
433,4786.412994963121
434,1265.0804243556954
435,7222.913351858002
436,3058.3627088085486
437,7145.896840460907
438,6230.968853217672
439,6715.166995445222
440,2828.0995691193666
441,3825.055698709153
442,6728.7861266241625
443,2494.200460623974
444,4636.048166373984
445,6874.890258852907
446,7079.307269372371
447,3494.584683211341
448,7791.230987796513
449,5428.291670065468
450,5236.554659181615
451,1993.4425698617483
452,5831.931513584837
453,6525.290431277164
454,3270.0141522450426
455,4971.719626831337
456,5157.29186777419
457,2141.645981422725
458,6353.612329748302
459,5633.981139891076
460,5869.94521647546
461,494.602237750667
462,7912.482068871097
463,2646.090971885878
464,5216.846482596205
465,7386.463531753211
466,5216.846482596205
467,7820.587695831272
468,3046.9805023960726
469,1615.1612417773333
470,4194.487979111185
471,3046.9805023960726
472,2083.370356190758
473,1810.358447847184
474,2036.8709491185696
475,7437.572607854985
476,1617.2143729396284
477,9419.028392005592
478,4538.309021529622
479,2547.480262612712
480,622.0531616971823
481,1873.5848034900685
482,5685.59833265264
483,1452.9216736487097
484,4046.2022523926607
485,2685.0137171886745
486,1789.721899880083
487,7869.724892103096
488,4006.5445111868767
489,4616.687060007418
490,2022.3404375010086
491,1165.092694588075
492,1579.4410728602652
493,861.5981670398156
494,4126.980103324876
495,3276.38192993151
496,4630.812573182592
497,8242.776507503118
498,5743.278244424996
499,2279.248091252128
500,1840.1670713624987
501,223.47708160277944
502,6606.639321995019
503,10085.703831835082
504,6521.585693209249
505,5658.775717484356
506,5431.3150662157705
507,2128.167701345984
508,2776.1222360615343
509,7968.698651879483
510,2602.7215744426403
511,1082.4933633264618
512,5820.16909459688
513,7030.40215788792
514,3640.1539177749746
515,3646.389305977985
516,6620.600812768802
517,7584.944053346662
518,2242.6994189324796
519,3341.285097067513
520,1039.7569904600045
521,1205.7203139546464
522,1881.7149791970905
523,3406.751995944425
524,1191.8468340553763
525,2554.3364199541793
526,5427.3878944652415
527,3992.071656018241
528,2476.0381593545303
529,2265.137928775847
530,7852.31119387291
531,1820.4344790689854
532,4453.197106877265
533,7676.740133001837
534,8854.289101071365
535,7883.980288643063
536,3156.235099812731
537,7482.57141830015
538,6461.107077550922
539,469.4851907467126
540,2701.7398013184024
541,2657.2974230540435
542,1840.0345799373831
543,2289.4639101631824
544,707.0051474157118
545,1755.1133010209007
546,2135.54451218137
547,3496.3608925749945
548,2769.078120979294
549,1539.6465858510664
550,7445.795748748958
551,5749.8115145157235
552,1178.6803046936836
553,3807.3941745151506
554,2850.9567947030127
555,1976.9384788783061
556,7441.899681057645
557,3571.074774715876
558,1730.7284544609133
559,1884.904042003052
560,6239.580478683102
561,2536.51944101534
562,5579.440162995256
563,7109.676759129083
564,1141.3307487120217
565,1188.281569656573
566,3168.7472253436845
567,3134.5751953205627
